sent,codes,test
"""Problems with this code: 1) Stream is left open when there's an exception.""","[""'Bug'""]",0.216131422
"""For some it will be Shiro, for others it will be Spring Security.""","[""'Security'""]",0.853771268
"""( URL_http://tldp.org/HOWTO/IPCHAINS-HOWTO.html) .""","[""'Others'""]",0.724961259
"""It tries to make Swing more pleasant to use.""","[""'Usability'""]",0.841401479
"""A nice way to do this is using URL_http://commons.apache.org/ [Apache-commons] URL_http://commons.apache.org/proper/commons- io/apidocs/org/apache/commons/io/IOUtils.html [IOUtils] to copy the CODETERM1 into a CODETERM2 ... something like CODESNIPPET_JAVA1 .""","[""'Documentation'"", ""'Usability'""]",0.972607364
""" Hat tip goes also to URL_http://stackoverflow.com/users/68127/jacob-gabrielson [Jacob,] who once pointed me to the said article.""","[""'Documentation'"", ""'Community'""]",0.738607757
"""I don't have experience using Shiro, and I ""partly"" agree with what you said about Spring Security.""","[""'Security'""]",0.026635875
""" I might regret asking this, but ill try it anyways: C#/.Net is said to have a very good set of easy to use components which can be flexed in every direction possible.""","[""'Usability'""]",0.946178608
"""s.next() : """"; }.""","[""'Others'""]",0.477183147
"""It also integrates nicely with Spring if you need that.""","[""'Compatibility'""]",0.085080994
"""I could imagine a pure JavaScript JMS implementation in the browser, using HTTP as a transport but my instict is that this would be very heavyweight.""","[""'Performance'""]",0.659599047
"""2) MySql on MyISAM engine without any foreign keys (i.e.""","[""'Others'""]",0.253922214
"""If the article you have posted is better doesn't mean that my article is wrong.""","[""'Documentation'""]",0.262473997
"""No way.""","[""'OnlySentiment'""]",0.269014746
"""line 21: ToStringBuilder cannot be resolved.""","[""'Usability'""]",0.142362883
"""Are you asking why the example you linked to doesn't use salt and password?""","[""'Others'""]",0.027144761
"""Lucene is a very powerful full-text search engine, but FT search isn't exactly the same thing as fuzzy string matching (eg.""","[""'Performance'""]",0.344775181
"""All LOG4j properties you can change in a log4j.properties file, so you can use different files for different projects.""","[""'Usability'""]",0.660581643
"""Are you pushing or pulling the file?""","[u""'Others'""]",0.956369536
"""The reason it works is because URL_http://download.oracle.com/javase/6/docs/api/java/util/Scanner.html [Scanner] iterates over tokens in the stream, and in this case we separate tokens using ""beginning of the input boundary"" (\A) thus giving us only one token for the entire contents of the stream.""","[""'Documentation'"", ""'Usability'""]",0.404287608
"""I want my own structure in the file since some1 else need to read it by a specific structure.""","[""'Others'""]",0.118479879
"""java.net will require one thread per socket.""","[""'Others'""]",0.801209701
"""Um... having done some pretty extensive Swing across multiple platforms, I can tell you that it very much is not the same across platforms.""","[""'Portability'""]",0.134577688
"""To answer my own questions: 1.""","[""'Others'""]",0.406862528
"""In order to get authentication, I'd recommend a different mode, like CCM, if your provider supports it (the SunJCE provider doesn't implement any authenticating cipher modes, at least not up through Java 7).""","[""'Security'""]",0.740682644
"""At the same time, there is a real cost to using libraries (as the dependency proliferation in many apache java libraries shows).""","[""'Compatibility'""]",0.99164205
"""Promising.""","[""'OnlySentiment'""]",0.209293332
""" .""","[""'Others'""]",0.700500037
"""As soon as either happens the client opens a new connection.""","[""'Others'""]",0.025355856
"""It has nearly all the greatness of Qt (many components, good documentation, easy to use), without the hassle of C++.""","[""'Documentation'"", ""'Usability'""]",0.694283568
"""I remember lying in bed one night at about 2am wondering ""how hard could it be"", after a bit I got up and started writing - URL_http://www.softwaremonkey.org/Code/JsonParser [this-tiny-parser-is-the- result] .""","[""'Others'""]",0.624229866
"""Json conversion.""","[""'Others'""]",0.237592926
"""In other words you need to generate another key to use a MAC, or you could use an authenticated mode of encryption such as GCM.""","[""'Security'"", ""'Usability'""]",0.434785657
"""@erickson so the lack of support is the only criteria not to use 'PBEWithMD5AndDES'?""","[""'Usability'""]",0.950147852
"""Gson uses the specified class as the primary specification for deserialization.""","[""'Usability'""]",0.343268797
"""Jackson is also easy to use.""","[""'Usability'""]",0.674911671
"""The project still seems active nowadays.""","[""'Usability'""]",0.830532137
"""As far as when AWT may be more useful than Swing - you may be targeting an older JVM or platform that doesn't support Swing.""","[""'Usability'"", ""'Portability'""]",0.628306493
"""It is as if the actual project code doesn't know the existence of the security... and that is good, because it allows me to easily detach or upgrade the security component in the future (ex: change database auth to LDAP/CAS auth).""","[""'Usability'""]",0.822305953
"""fileContents.append(scanner.nextLine()).append(lineSeparator);.""","[""'Others'""]",0.898726535
"""I think the below answer (IOUtils.toString()) is simpler since there is no need for a StringWriter.""","[""'Usability'""]",0.899746065
"""Please comment, if there will be any issues with the code .""","[""'Bug'""]",0.739497163
"""The example uses the UTF-8 encoding that allows expression of the full unicode range (Including Chinese).""","[""'Documentation'""]",0.203690578
"""The major drawback with Swing is that it hangs on to some old ideas which very kind of bleeding edge 15 years ago but which feel ""clumsy"" today.""","[""'Performance'""]",0.933598126
"""I copy 5 - 10 mb files easy...""","[""'OnlySentiment'""]",0.939233228
"""V6.5 is excellent and realy improved over v5.""","[""'Usability'""]",0.240093425
"""CODESNIPPET_JAVA3 .""","[""'Others'""]",0.36777708
"""I don't know that I'd say the default encoding is NEVER fine.""","[""'Usability'""]",0.269755484
"""I did this some time ago when I studied Markov chains.""","[""'Others'""]",0.151654054
"""As you can see, the result of encrypting P1, P2 and P3 (in that order) is different from encrypting P2, P1 and P3 (in that order).""","[""'Security'""]",0.367126728
"""Does this usage of SecureKey and PBEKeySpec produce a Password-based key that is RFC2898-compliant?""","[""'Others'""]",0.79348726
"""If you are interesting in Eclipse plugin to generate a java client class from WADL, you can see at link URL_http://stackoverflow.com/questions/9159881 /restful-client-from-wadl/16709008#16709008 [Restful-Client-from-WADL] .""","[""'Others'""]",0.670288531
"""Add a jar with the three classes mentioned above to the classpath.""","[""'Others'""]",0.989971685
"""You may use Socket for this like CODESNIPPET_JAVA1 .""","[""'Others'""]",0.551221513
"""4.""","[""'Others'""]",0.503632009
"""Since simple flat files require no setup and don't use SQL, what are you asking?""","[""'Usability'""]",0.447040466
"""Swing requires javax.swing package .""","[""'Compatibility'""]",0.593725346
"""We would like to share this stack with another web application, to avoid having multiple instances of the same objects.""","[""'Others'""]",0.918982057
"""well it's not worth a -1 vote ;P But something to ponder about.""","[""'Others'""]",0.974364749
""" I need this for two things: providing an SQL interface to a non-SQL database (mapping to internal API calls) rewriting SQL before it goes to the actual database (e.g.""","[""'Others'""]",0.104346791
"""What is the best api/library for Java to use Cassandra?""","[""'Usability'""]",0.669030155
"""AWT is called the abstract window tool.""","[""'Others'""]",0.687132084
"""Hint: I'm using eclipse and I know what a debugger is, but I can't figuere out how to apply it to the problem.""","[""'Usability'""]",0.861456522
"""The only use of that class is if you need to share the buffer with multiple thread (which rarely happends).""","[""'Usability'""]",0.081604374
"""@Joachim The libraries work with text output (that is what _rayman_ needs if I understand it correct).""","[""'Usability'""]",0.466682175
"""In this case, the standalone mode is probably a better fit.""","[""'Usability'""]",0.201104928
"""Although slightly more verbose than the other Spring example, it is easier to read IMO.""","[""'Usability'""]",0.687637419
"""How can I trace the probrem if I didn't avoid the NPE.""","[""'Bug'""]",0.591410064
"""Funnily enough I have just ordered RESTful Web Services on Amazon before I read your post.""","[""'Documentation'""]",0.268684106
"""4.""","[""'Others'""]",0.052666998
"""Swing is, generally, more configurable and flexible to use.""","[""'Usability'""]",0.301878689
"""And I am glad I did, because after a day working on it I managed to learn enough about the APIs not only to set up a basic authentication and authorization system in my Spring webapp without trouble, but also to implement the custom SSO behaviour I was looking for.""","[""'Security'"", ""'Usability'""]",0.600084617
"""With the following caveats: As with normal Java serialization coding and decoding run over a InputStream and OutputStream the process uses the familar writeObject and readObject methods In contrast to normal Java serialization the encoding but also decoding causes constructors and initializers to be invoked encoding and decoding work regardless if your class implements Serializable or not transient modifiers are not taken into account works only for public classes, that have public constructors For example, take the following declaration: CODESNIPPET_JAVA1 .""","[""'Others'""]",0.98731504
"""As noted in the question, this also requires the _Java Cryptography Extension (JCE) Unlimited Strength Jurisdiction Policy_ (else you'll encounter URL_http://stackoverflow.com/questions/3862800/invalidkeyexception-illegal- key-size/3864325 [CODETERM1] ).""","[""'Others'""]",0.927440244
"""From URL_http://java.sun.com/docs/books/tutorial/networking/urls/readingWritin g.html [Sun's-java-tutorial] CODESNIPPET_JAVA1 .""","[""'Documentation'""]",0.671123333
"""Planning on posting my fixes for feedback when I get to that point.""","[""'Documentation'""]",0.902495592
"""+1: I just read on another post that substring creates a String that just uses the same char[] of the original String.""","[""'Others'""]",0.606830556
"""For simple use cases you can use URL_http://hc.apache.org/httpcomponents- client-ga/fluent-hc/ [HttpClient-Fluent-API] .""","[""'Usability'""]",0.800011225
"""part of them on AWT Components, part on Swing JCompoentns, but between AWT and Swing is difference with implemented, accesible and inherits methods, for example Swing JComponents directly (API) implements lots of inherit or nested methods directly from AWT :-).""","[""'Others'""]",0.35542875
"""The utility of Java 7 safely simplifies the code, and the old answer, which used a mapped byte buffer, prevented the file that was read from being deleted until the mapped buffer was garbage collected.""","[""'Usability'""]",0.152478134
"""@MeteroidFan2002: I agree that getters should not contain side effect logic, but what rblasch suggests does not seem like a side effect to me.""","[""'Usability'""]",0.346476355
"""Don't be burnt by misunderstanding what available() gives you.""","[""'Usability'""]",0.411128363
"""[enter image description here]( URL_http://i.stack.imgur.com/uBnha.png ) .""","[""'Others'""]",0.105225278
"""A getter is supposed to get the property, anything other than that and it is a side effect.""","[""'Usability'""]",0.030234914
"""Ive just been running a case with bea support on some thing of the same sort.""","[u""'Others'""]",0.421662777
"""I talked about Swing :-), only about Swing Framework or Framework based on JSR296.""","[""'Others'""]",0.336892163
"""However, the options are there if you need to create your custom configuration or control how granular you want your security to be.""","[""'Security'""]",0.034714625
"""Anyway, I look at the EJB approach today.""","[""'Others'""]",0.735992931
"""For me that is a HashMap/ArrayList Object.""","[""'Others'""]",0.373413527
"""Related: URL_http://stackoverflow.com/questions/407343/where-are-swing - applications-used.""","[""'Others'""]",0.77034858
"""You'll probably share the salt (for key derivation) one time, at the same time you set up the password itself.""","[""'Others'""]",0.731765157
"""How did you get that done so fast?!"".""","[""'Performance'""]",0.863641554
"""Pelops is mavenized as well.""","[u""'Others'""]",0.141699531
"""The issues you found with the respective approaches you mention.""","[""'Others'""]",0.739831383
"""I was wondering if any of you have any experience with any of these or even better have tried both of them in the same environment.""","[""'Others'""]",0.689292694
"""Use XStream..""","[""'OnlySentiment'""]",0.368698729
"""promising to be the facto standard in developing rich desktop or web applications.""","[""'Others'""]",0.90420675
"""See URL_http://commons.apache.org/proper/commons-io///apidocs/org/apache/commo ns/io/FileUtils.html#deleteDirectory%28java.io.File%29 [FileUtils.deleteDirectory()] <s>Also with URL_http://code.google.com/p/guava-libraries [Guava] :</s> <s> CODETERM1 </s> This has been removed from Guava several releases ago.""","[""'Others'""]",0.095570731
"""I assume it has improved in the past year - they seem to add features in gobs and heaps, quite often.""","[""'Usability'""]",0.517296128
"""Having recently worked on a project which required some more IO interaction than I'm used to, I felt like I wanted to look past the regular libraries (Commons IO, in particular) and tackle some more in depth IO issues.""","[""'Others'""]",0.383454516
"""You can also build on the NetBeans Platform, which is built on Swing: URL_http://platform.netbeans.org/ .""","[""'Others'""]",0.053575872
"""This will take care of Spring, and any other framework that uses JCL.""","[""'Usability'""]",0.068449856
"""It really does not matter if the API/Code is thread safe.""","[u""'Performance'""]",0.728776633
"""I would suggest using URL_http://uima.apache.org/ [UIMA] with URL_http://opennlp.sourceforge.net/projects.html [OpenNLP] connectors and same hand made regexp rules.""","[""'Usability'""]",0.960850783
"""A quick but not clean solution.""","[""'Usability'""]",0.968538373
"""I am going to choose a JMS message broker for a project.""","[""'Others'""]",0.440796536
"""This takes 10-60 minutes on a mobilephone/hand held computer.""","[""'Performance'""]",0.408934493
"""It is regrettable that you are not able to figure it out, but so be it.""","[""'OnlySentiment'""]",0.733662825
"""Take a look at URL_http://www.ibm.com/developerworks/java/library/j-zerocopy/index.html [this-article] that explains efficient data transfer through zero copy .""","[""'Documentation'""]",0.470931119
"""@Guillaume Cot I guess the message here is that you never should be ""fine with the default encoding"", since you cannot be sure of what it is, depending on the platform the java code is run on.""","[""'Portability'""]",0.700713344
"""Right now in my app I have close to 4 maybe more logging frameworks: Java Util Logging log4j slf4j logback (ignored thanks to a maven provided hack) commons logging (ignored thanks to a maven provided hack) And tomcat has its own JULI adapter I have been using log4j (1.2.x) because frankly I just haven't needed the _features_ of the newer guys but I have been tempted lately to switch to SLF4J and mainly I don't want to have rewrite my complicated log4j configurations files to a new format** (logback).""","[""'Usability'""]",0.517719584
"""DOM is a W3C standard ( URL_http://www.w3.org/DOM/) .""","[""'Others'""]",0.702480754
"""It deletes the specified directory and returns true if the directory deletion was successful.""","[""'Usability'""]",0.804870788
"""It can also be used to convert a JSON string to an equivalent Java object.""","[""'Usability'""]",0.702966453
"""web.xml) the parameters are nicely mapped to strongly typed variables (e.g.""","[""'Usability'""]",0.8543764
"""check this out: URL_http://igorpolevoy.blogspot.com/2011/01/java-rest-with - ease.html thanks igor.""","[""'Documentation'""]",0.108301797
"""You can find that link also from URL_http://www.schneier.com /blowfish-download.html [Bruce-Schneier's-website] (the creator of both algorithms).""","[""'Others'""]",0.887971983
"""I will look it up.""","[""'Usability'""]",0.299807529
"""I wasn't sure if this was threadsafe or not, and if not, how to fix the problem.""","[""'Performance'""]",0.94215945
"""Yes, JIDE has made quite a few components covering grids, trees, tables, graphs and the like.""","[""'Others'""]",0.541668872
"""These are vastly different approaches to GUI toolkits and have a lot of consequences.""","[""'Others'""]",0.926449488
"""I haven't used Java libraries that ""just do"" that entire work you describe, but it's not that difficult to use ( URL_http://sourceforge.net/projects/javavis/ [ URL_http://sourceforge.net/projects/javavis/ ] ) as in the sample code described in the following paper: URL_http://imai-software.com/openlab/data/IMAI- JOUNALVI.pdf#page=43 [ URL_http://imai-software.com/openlab/data/IMAI - JOUNALVI.pdf#page=43] (see from page 43) - that paper is quite good and for it's length :).""","[""'Documentation'"", ""'Usability'""]",0.815831026
"""Place each getter on its own line and debug.""","[""'Others'""]",0.417911314
"""You can rest assured that if you're writing a Spring app, you'll have a well-rounded security experience.""","[""'Security'""]",0.506500327
"""Then you can use the objectMapper from the library to go from an array that you have in memory to a json String like so CODESNIPPET_JAVA2 .""","[""'Usability'""]",0.2583547
"""The following is straight from the Java 6 source code.""","[""'Others'""]",0.634311891
"""You can see this, for example, in the requirement that POJO objects need to be annotated with @XmlRootElement even though nothing I am doing involves XML.""","[""'Others'""]",0.06207275
"""I would hazard a guess that any performance loss would be small, or could be handled by every once in a while logging them to a file and destroying the old String obj's.""","[""'Performance'""]",0.566572638
"""You can use the same scope that the rhino shell uses quite easily.""","[""'Usability'""]",0.743227247
"""The typical solution is to use EJB, but I think spring has remoting options built into its stack.""","[""'Others'""]",0.458395637
"""Or with Jackson: CODESNIPPET_JAVA1 .""","[""'Others'""]",0.337814792
"""URL_http://www.jformdesigner.com [JFormDesigner] ), but restrict us too much** in different kinds.""","[""'Usability'""]",0.359238699
"""I have developed an Add-on for Android's in-built JSON Parser (or.json.""","[""'Others'""]",0.133836384
"""All the links mentioned are specific to python.""","[""'Others'""]",0.414821721
"""can't pivot be applied for desktop applications?""","[""'Others'""]",0.643892356
"""I'd prompt the user in the client application for the password, and derive the key using the stored salt and iterations.""","[""'Others'""]",0.796862892
"""Apache is an organization.""","[""'Community'""]",0.247972578
"""For low volume control applications the simplicity of XML-RPC should outweigh the performance costs.""","[""'Performance'"", ""'Usability'""]",0.285212936
"""Remember to not confuse slf4j-xxxx.jar with xxxx-over-slf4j.jar.""","[""'Others'""]",0.270295012
""") is to implement polling in the client.""","[""'Others'""]",0.393298716
"""Although, .NET implementation of Bouncy Castle is not well documented, it is essentially the same as Java.""","[""'Documentation'""]",0.182388774
"""again no encoding.""","[""'Others'""]",0.768106662
"""Sorry, after re-reading my comment, it comes off a little arrogant.""","[""'OnlySentiment'""]",0.294272262
"""The original question was creating a single string, not a list of lines.""","[""'Others'""]",0.2329801
"""Therefore, the suggested param value in web.xml is correct.""","[""'Others'""]",0.210633655
"""If you want the file read by 3rd party as well, how about using some popular existing exchange format such as CSV or XML?""","[""'Usability'""]",0.267206327
"""The only hard part is when you don't know how many characters you need to read.""","[""'Usability'""]",0.57180733
"""Implementing the new String(...) with encoding is the responsibility of the on that uses the API!.""","[""'Others'""]",0.113823571
"""Of course.""","[""'OnlySentiment'""]",0.820313768
"""An excellent summary, can't fault that comparison.""","[""'OnlySentiment'""]",0.719725861
"""Once again, these are my findings and your findings may not be exactly the same, but I wrote this to give some indication to others of the efficiency differences of these approaches.""","[""'Others'""]",0.240850734
"""Any suggestions on how to solve this?""","[""'Others'""]",0.801574305
"""Pivot.""","[""'Others'""]",0.358114279
"""Actually Java supports 4 methods to parse XML out of the box: DOM Parser/Builder: The whole XML structure is loaded into memory and you can use the well known DOM methods to work with it.""","[""'Usability'""]",0.943239203
"""My idea was to have write a sever app on each machine that acts as a gateway from the control center to the radio hardware, with one socket for each unit.""","[""'Others'""]",0.513245981
"""You cannot scope them by class/package but that should not be a problem in this case because the breakpoint needs to be activated only one execution reaches the chained getters.""","[""'Bug'"", ""'Usability'""]",0.405867015
"""Use Joda time or Java 8 Date time API.""","[""'Usability'""]",0.624822676
"""I don't think it's particularly practice, but I certainly wouldn't want any recommendation to do that in general.""","[""'Usability'""]",0.76340968
"""But the weakness of DES is definitely a problem.""","[""'Bug'""]",0.119858735
"""I'vebeen able to use it for basic web pages though.""","[""'Usability'""]",0.411327932
"""Yes, everything is deployed to the same server.""","[""'Others'""]",0.980515203
"""I bet more than 10 years ago.""","[""'Others'""]",0.949827986
"""But creating a 256-bit key isn't enough.""","[""'Usability'""]",0.831091503
"""URL_http://hc.apache.org/ [Apache-HttpComponents] .""","[""'Others'""]",0.882324098
"""It's the shortest path between Java objects, XML documents and relational tables.""","[""'Usability'""]",0.127608701
"""The heavyweight/leightweight problems will disappear with Java 6 update 12 (see URL_http://java.dzone.com/news/a-farewell-heavyweightlightwei) .""","[""'Performance'""]",0.564683009
"""URL_http://download.oracle.com/javase/6/docs/api/javax/xml/parsers/DocumentBui lderFactory.html [ URL_http://download.oracle.com/javase/6/docs/api/javax/xml/parse rs/DocumentBuilderFactory.html] Example: URL_http://www.mkyong.com/java/how-to-read-xml-file-in-java-dom- parser/ [ URL_http://www.mkyong.com/java/how-to-read-xml-file-in-java-dom-parser/ ] .""","[""'Others'""]",0.525073837
"""If I were in your shoes, I'd go with this option just because I know that it would show great performance, there are mature tools for working with MySql, many people have experience with it and at any time you can easily use all its relational potential if you eventually decide to go back to RDBMS solutions.""","[""'Performance'"", ""'Usability'"", ""'Others'""]",0.510957291
"""CODESNIPPET_JAVA1 .""","[""'Others'""]",0.609631609
"""Performance will be the same anyway I think.""","[""'Performance'""]",0.942292301
"""No need for bloatware.""","[""'Usability'""]",0.938191835
"""All things considered, this approach seems to work.""","[u""'Usability'""]",0.176856546
"""Looks like their docs are pretty good too, and being open source, you should find lots of examples.""","[""'Documentation'"", ""'Legal'""]",0.998744686
"""I don't see much similarities between the two (which I think is good thing for GSON).""","[""'Others'""]",0.175581943
"""Extracting the database structure through the JDBC metadata programmatically might look straightforward, but from experience I can say that there's a fair bit of difference between JDBC drivers/database platforms.""","[u""'Compatibility'""]",0.476110916
"""Has anyone used before which can built an unique profile for each scan & be able to authenticate too.""","[""'Security'""]",0.944698328
"""It is possible to enhance the original log4j classes.""","[""'Others'""]",0.506824433
"""You are right in that Spring Data Graph right now does not support compound keys.""","[""'Usability'""]",0.346959443
"""But in 20 years, you can make something almost useful (for yourself).""","[""'Usability'""]",0.653734468
"""It has most of the components you are looking for - it's got Hibernate, JPA, and Spring with a MySQL backend.""","[""'Others'""]",0.432003065
"""To save anyone the hassle of Googling - org.apache.commons commons-io 1.3.2 .""","[""'Others'""]",0.077698113
"""@netbrain Thanks back at you for asking an interesting, well researched question.""","[""'OnlySentiment'""]",0.505466087
""";) With the built in Serialization you have no choice, but if you do it yourself, you can make it anything you want.""","[""'Others'""]",0.817710166
""" This module provides an easy to use facade API for HttpClient based on the concept of a fluent interface.""","[""'Usability'""]",0.894883521
"""Thanks!""","[u""'OnlySentiment'""]",0.331130435
"""The link with text ""here is a unit test case"" is broken.""","[""'Documentation'""]",0.410454484
"""Doesn't answer the question.""","[""'Documentation'""]",0.025421928
"""or new String(Files.readAllBytes(Paths.get(filename))); :-).""","[""'Others'""]",0.837391343
"""Using JAX-RS, mainly via Apache CXF, for roughly two years now, I'd always prefer it over plain Servlets.""","[""'Usability'""]",0.957093278
"""With respect to JavaFXs webview, it's based on webkit URL_http://docs.oracle.com/javafx/2/webview/jfxpub-webview.htm and from a few short tests that i have done it seems to work fine with js in general (including jquery and jqueryui).""","[""'Usability'""]",0.432501445
"""In Java CODETERM11 uses a CODETERM12 behind the scenes.""","[""'Usability'""]",0.630723652
"""URL_http://www.opencalais.com/ [OpenCalais] is a free service, for example; many commercial ones exist.""","[""'Legal'""]",0.54514831
"""In this case, you don't want to use flat files because when you say ""NoSQL"" you mean something specific -- ""redis"".""","[""'Usability'""]",0.40854607
"""What I don't know is (a) whether there are similar concepts in other OSes, and (b) whether there are any suitable Java wrappers?""","[u""'Portability'""]",0.080634542
"""And as a personal comment, Looks very interesting!""","[""'OnlySentiment'""]",0.705071369
